id	keep	Description	Homepage	EDAM_operations	EDAM_topics
sortmerna	False	SortMeRNA is a software designed to rapidly filter ribosomal RNA fragments from metatransriptomic data produced by next-generation sequencers.	http://bioinfo.lifl.fr/RNA/sortmerna/	['Sequence similarity search', 'Sequence comparison', 'Sequence alignment analysis']	['Metatranscriptomics', 'Metagenomics']
staramr	False	Scan genome contigs against the ResFinder, PlasmidFinder, and PointFinder antimicrobial resistance databases.	https://github.com/phac-nml/staramr	['Antimicrobial resistance prediction']	['Microbiology', 'Public health and epidemiology', 'Infectious disease']
suite_plasmid_profiler	False	Plasmid Profiler suite defining all dependencies for Plasmid Profiler		[]	[]
sylph	False	sylph - fast and precise species-level metagenomic profiling with ANIs	https://github.com/bluenote-1577/sylph	['Taxonomic classification']	['Metagenomics']
taxonomy_krona_chart	False	Krona pie chart from taxonomic profile	http://sourceforge.net/projects/krona/	['Visualisation']	['Metagenomics']
taxpasta	False	standardise taxonomic profiles	https://taxpasta.readthedocs.io/en/latest/	['Standardisation and normalisation', 'Aggregation', 'Formatting', 'Conversion']	['Taxonomy', 'Metagenomics']
tb-profiler	False	Processes M. tuberculosis sequence data to infer strain type and identify known drug resistance markers.	https://github.com/jodyphelan/TBProfiler	['Antimicrobial resistance prediction']	[]
tiara	False	Tool for identification of eukaryotic sequences in the metagenomic datasets.	https://github.com/ibe-uw/tiara	['Genome comparison', 'Data retrieval', 'Variant calling', 'Genome visualisation', 'Structural variation detection']	['Sequencing', 'Genomics', 'DNA polymorphism', 'DNA structural variation']
unipept	False	Unipept retrieves metaproteomics information	https://github.com/galaxyproteomics/tools-galaxyp	['Prediction and recognition', 'Visualisation']	['Proteomics', 'Proteogenomics', 'Biodiversity', 'Workflows']
valet	False	A pipeline for detecting mis-assemblies in metagenomic assemblies.	https://github.com/marbl/VALET	['Sequence assembly', 'Sequence assembly visualisation']	['Metagenomics', 'Sequence assembly']
vcontact2	False	Tool to provide taxonomic context of metagenomic sequencing data	https://bitbucket.org/MAVERICLab/vcontact2/src/master/	['Deposition', 'Taxonomic classification', 'Genome annotation']	['Taxonomy', 'Metagenomics', 'Microbial ecology']
vibrant	False	Virus Identification By iteRative ANnoTation	https://github.com/AnantharamanLab/VIBRANT	['Sequence trimming', 'Scaffolding', 'Genome annotation']	['Metagenomics', 'Microbial ecology', 'Sequence assembly', 'Molecular interactions, pathways and networks', 'Endocrinology and metabolism']
viralverify	False	Contigs prediction as viral, chromosomal, plasmidic or uncertain.	https://github.com/ablab/viralVerify	[]	[]
virannot	False	virAnnot wrappers	https://github.com/marieBvr/virAnnot	['Sequence annotation', 'Sequence clustering', 'Sequence cluster visualisation']	['Metagenomics', 'Virology', 'Microbial ecology']
virsorter	False	VirSorter2 applies a multi-classifier, expert-guided approach to detect diverse DNA and RNA virus genomes.	https://github.com/jiarong/VirSorter2/	['Taxonomic classification']	['Metagenomics']
vrhyme	False	Tool for dereplication and binning virus genomes from metagenomes.	https://github.com/AnantharamanLab/vRhyme	['Scaffolding', 'Read binning', 'Read mapping', 'Sequence trimming']	['Metagenomics', 'Microbial ecology', 'Model organisms', 'Machine learning', 'Sequence assembly']
vsearch	False	VSEARCH including searching, clustering, chimera detection, dereplication, sorting, masking and shuffling of sequences.	https://github.com/torognes/vsearch	['DNA mapping', 'Chimera detection']	['Metagenomics', 'Sequence analysis']
